Row,Anon Student Id,Age,Problem Hierarchy,question_id,Step Start Time,Step End Time,Correct First Attempt,Step Duration (sec),Answer Type,KC(Default),skill_id,Opportunity (Default),template_id
15,15,15,2,7,16-07-2023 09:41,16-07-2023 09:41,0,3,Drag & Drop,Geometry,3,1,1
21,21,15,2,7,22-07-2023 10:56,22-07-2023 10:57,1,60,Drag & Drop,Geometry,3,1,1
24,24,15,2,7,23-07-2023 11:49,23-07-2023 11:50,1,27,Drag & Drop,Geometry,3,1,1
26,26,15,2,7,24-07-2023 17:03,24-07-2023 17:03,1,21,Drag & Drop,Geometry,3,1,1
1,1,15,2,7,10-07-2023 16:14,10-07-2023 16:15,1,29,Drag & Drop,Numbers,4,1,1
5,5,15,2,7,15-07-2023 15:00,15-07-2023 15:01,0,9,Drag & Drop,Numbers,4,1,1
8,8,15,2,7,15-07-2023 16:25,15-07-2023 16:25,0,27,Drag & Drop,Numbers,4,1,1
11,11,15,2,7,15-07-2023 23:03,15-07-2023 23:04,1,60,Drag & Drop,Numbers,4,1,1
12,12,15,2,7,16-07-2023 09:41,16-07-2023 09:41,0,3,Drag & Drop,Numbers,4,1,1
13,13,15,2,7,16-07-2023 23:03,16-07-2023 23:04,1,55,Drag & Drop,Numbers,4,1,1
15,15,15,2,7,16-07-2023 09:41,16-07-2023 09:41,0,3,Drag & Drop,Numbers,4,1,1
21,21,15,2,7,22-07-2023 10:56,22-07-2023 10:57,1,60,Drag & Drop,Numbers,4,1,1
24,24,15,2,7,23-07-2023 11:49,23-07-2023 11:50,1,27,Drag & Drop,Numbers,4,1,1
26,26,15,2,7,24-07-2023 17:03,24-07-2023 17:03,1,21,Drag & Drop,Numbers,4,1,1
1,1,15,2,7,10-07-2023 16:14,10-07-2023 16:15,1,29,Drag & Drop,Percentages,5,1,1
5,5,15,2,7,15-07-2023 15:00,15-07-2023 15:01,0,9,Drag & Drop,Percentages,5,1,1
8,8,15,2,7,15-07-2023 16:25,15-07-2023 16:25,0,27,Drag & Drop,Percentages,5,1,1
11,11,15,2,7,15-07-2023 23:03,15-07-2023 23:04,1,60,Drag & Drop,Percentages,5,1,1
12,12,15,2,7,16-07-2023 09:41,16-07-2023 09:41,0,3,Drag & Drop,Percentages,5,1,1
13,13,15,2,7,16-07-2023 23:03,16-07-2023 23:04,1,55,Drag & Drop,Percentages,5,1,1
15,15,15,2,7,16-07-2023 09:41,16-07-2023 09:41,0,3,Drag & Drop,Percentages,5,1,1
21,21,15,2,7,22-07-2023 10:56,22-07-2023 10:57,1,60,Drag & Drop,Percentages,5,1,1
24,24,15,2,7,23-07-2023 11:49,23-07-2023 11:50,1,27,Drag & Drop,Percentages,5,1,1
26,26,15,2,7,24-07-2023 17:03,24-07-2023 17:03,1,21,Drag & Drop,Percentages,5,1,1
1,1,15,2,8,10-07-2023 16:14,10-07-2023 16:16,1,60,Drag the Words,Fractions,2,1,2
5,5,15,2,8,15-07-2023 15:00,15-07-2023 15:06,1,300,Drag the Words,Fractions,2,1,2
8,8,15,2,8,15-07-2023 16:27,15-07-2023 16:28,1,60,Drag the Words,Fractions,2,1,2
11,11,15,2,8,15-07-2023 23:04,15-07-2023 23:05,0,60,Drag the Words,Fractions,2,1,2
12,12,15,2,8,16-07-2023 09:41,16-07-2023 09:41,1,39,Drag the Words,Fractions,2,1,2
13,13,15,2,8,16-07-2023 23:01,16-07-2023 23:08,1,360,Drag the Words,Fractions,2,1,2
15,15,15,2,8,17-07-2023 22:45,17-07-2023 22:51,1,300,Drag the Words,Fractions,2,1,2
21,21,15,2,8,22-07-2023 10:55,22-07-2023 11:00,1,300,Drag the Words,Fractions,2,1,2
24,24,15,2,8,23-07-2023 11:47,23-07-2023 11:54,1,420,Drag the Words,Fractions,2,1,2
26,26,15,2,8,24-07-2023 17:03,24-07-2023 17:04,1,59,Drag the Words,Fractions,2,1,2
1,1,15,2,8,10-07-2023 16:14,10-07-2023 16:16,1,60,Drag the Words,Geometry,3,1,2
5,5,15,2,8,15-07-2023 15:00,15-07-2023 15:06,1,300,Drag the Words,Geometry,3,1,2
8,8,15,2,8,15-07-2023 16:27,15-07-2023 16:28,1,60,Drag the Words,Geometry,3,1,2
11,11,15,2,8,15-07-2023 23:04,15-07-2023 23:05,0,60,Drag the Words,Geometry,3,1,2
12,12,15,2,8,16-07-2023 09:41,16-07-2023 09:41,1,39,Drag the Words,Geometry,3,1,2
13,13,15,2,8,16-07-2023 23:01,16-07-2023 23:08,1,360,Drag the Words,Geometry,3,1,2
